DATE,DEXUSUK
22-04-2014,1.6833
23-04-2014,1.6768
24-04-2014,1.6797
25-04-2014,1.681
28-04-2014,1.6812
29-04-2014,1.6829
30-04-2014,1.6883
01-05-2014,1.69
02-05-2014,1.6865
05-05-2014,1.687
06-05-2014,1.6976
07-05-2014,1.6964
08-05-2014,1.6944
09-05-2014,1.6849
12-05-2014,1.6871
13-05-2014,1.6838
14-05-2014,1.6784
15-05-2014,1.6791
16-05-2014,1.6827
19-05-2014,1.6822
20-05-2014,1.6847
21-05-2014,1.6869
22-05-2014,1.6859
23-05-2014,1.6822
26-05-2014,.
27-05-2014,1.68
28-05-2014,1.6709
29-05-2014,1.6719
30-05-2014,1.6764
02-06-2014,1.6756
03-06-2014,1.6753
04-06-2014,1.6747
05-06-2014,1.6796
06-06-2014,1.6794
09-06-2014,1.6798
10-06-2014,1.6753
11-06-2014,1.6795
12-06-2014,1.6853
13-06-2014,1.6953
16-06-2014,1.6988
17-06-2014,1.6965
18-06-2014,1.6951
19-06-2014,1.7046
20-06-2014,1.7014
23-06-2014,1.701
24-06-2014,1.6971
25-06-2014,1.6986
26-06-2014,1.7018
27-06-2014,1.7016
30-06-2014,1.7105
01-07-2014,1.7147
02-07-2014,1.7165
03-07-2014,1.7152
04-07-2014,.
07-07-2014,1.7128
08-07-2014,1.7127
09-07-2014,1.713
10-07-2014,1.7122
11-07-2014,1.7108
14-07-2014,1.7079
15-07-2014,1.7149
16-07-2014,1.7131
17-07-2014,1.7104
18-07-2014,1.7069
21-07-2014,1.7067
22-07-2014,1.7058
23-07-2014,1.7036
24-07-2014,1.6981
25-07-2014,1.6972
28-07-2014,1.6991
29-07-2014,1.6939
30-07-2014,1.6903
31-07-2014,1.6889
01-08-2014,1.6832
04-08-2014,1.6841
05-08-2014,1.6874
06-08-2014,1.6833
07-08-2014,1.6849
08-08-2014,1.6778
11-08-2014,1.6787
12-08-2014,1.6806
13-08-2014,1.6696
14-08-2014,1.6694
15-08-2014,1.6686
18-08-2014,1.672
19-08-2014,1.662
20-08-2014,1.6633
21-08-2014,1.6589
22-08-2014,1.6574
25-08-2014,1.6585
26-08-2014,1.657
27-08-2014,1.6573
28-08-2014,1.6579
29-08-2014,1.6585
01-09-2014,.
02-09-2014,1.6502
03-09-2014,1.6451
04-09-2014,1.6349
05-09-2014,1.6312
08-09-2014,1.6141
09-09-2014,1.6088
10-09-2014,1.6134
11-09-2014,1.6225
12-09-2014,1.6243
15-09-2014,1.6243
16-09-2014,1.629
17-09-2014,1.6329
18-09-2014,1.6372
19-09-2014,1.6314
22-09-2014,1.634
23-09-2014,1.637
24-09-2014,1.6344
25-09-2014,1.6313
26-09-2014,1.6254
29-09-2014,1.6262
30-09-2014,1.622
01-10-2014,1.6216
02-10-2014,1.614
03-10-2014,1.5962
06-10-2014,1.6029
07-10-2014,1.6072
08-10-2014,1.6068
09-10-2014,1.6123
10-10-2014,1.6049
13-10-2014,.
14-10-2014,1.593
15-10-2014,1.5959
16-10-2014,1.6065
17-10-2014,1.6086
20-10-2014,1.6137
21-10-2014,1.6134
22-10-2014,1.607
23-10-2014,1.6037
24-10-2014,1.6098
27-10-2014,1.6133
28-10-2014,1.6157
29-10-2014,1.6149
30-10-2014,1.6023
31-10-2014,1.5999
03-11-2014,1.5986
04-11-2014,1.5991
05-11-2014,1.5984
06-11-2014,1.5862
07-11-2014,1.5844
10-11-2014,1.5857
11-11-2014,.
12-11-2014,1.5815
13-11-2014,1.5717
14-11-2014,1.5657
17-11-2014,1.5645
18-11-2014,1.5648
19-11-2014,1.567
20-11-2014,1.5683
21-11-2014,1.5672
24-11-2014,1.5701
25-11-2014,1.5714
26-11-2014,1.5787
27-11-2014,.
28-11-2014,1.5638
01-12-2014,1.5743
02-12-2014,1.5651
03-12-2014,1.57
04-12-2014,1.5707
05-12-2014,1.56
08-12-2014,1.5625
09-12-2014,1.5694
10-12-2014,1.5689
11-12-2014,1.5712
12-12-2014,1.5728
15-12-2014,1.5663
16-12-2014,1.5736
17-12-2014,1.5652
